bacteria
0-100
Protein Id	Score	Localization	Gene Ontology Terms
tr|T2KBR9|T2KBR9_SALTM	8	cytoplasm	bacterial nucleoid GO:0043590(IDA); cytoplasm GO:0005737(IEA);
tr|T2KEW5|T2KEW5_SALTM	25	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCR3|T2KCR3_SALTM	90	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4D5|T2K4D5_SALTM	95	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC99|T2KC99_SALTM	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KE64|T2KE64_SALTM	16	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6Z0|T2K6Z0_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K896|T2K896_SALTM	15	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCE9|T2KCE9_SALTM	91	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IDA); integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KCH1|T2KCH1_SALTM	97	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K3Z2|T2K3Z2_SALTM	13	cytoplasm	cytoplasm GO:0005737(IMP);
tr|T2KBG1|T2KBG1_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KFP2|T2KFP2_SALTM	95	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6G5|T2K6G5_SALTM	27	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KC72|T2KC72_SALTM	93	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
tr|T2K5K2|T2K5K2_SALTM	100	fimbrium	pilus GO:0009289(IEA);
tr|T2KAM1|T2KAM1_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD58|T2KD58_SALTM	98	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KA52|T2KA52_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K442|T2K442_SALTM	94	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KE01|T2KE01_SALTM	27	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K6E5|T2K6E5_SALTM	43	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAT3|T2KAT3_SALTM	31	periplasm	integral to external side of plasma membrane GO:0071575(ISA); periplasmic space GO:0042597(IDA);
tr|T2K2R7|T2K2R7_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7H8|T2K7H8_SALTM	95	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IDA);
tr|T2K9Z9|T2K9Z9_SALTM	70	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K8U4|T2K8U4_SALTM	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2Y0|T2K2Y0_SALTM	47	fimbrium	pilus GO:0009289(IEA);
tr|T2KDV9|T2KDV9_SALTM	8	periplasm	membrane GO:0016020(IDA); periplasmic space GO:0042597(IEA);
tr|T2K6N6|T2K6N6_SALTM	88	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDA2|T2KDA2_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction resolvase complex GO:0048476(IDA);
tr|T2K7C8|T2K7C8_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K405|T2K405_SALTM	97	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KA11|T2KA11_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6U1|T2K6U1_SALTM	12	inner membrane	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K8Z2|T2K8Z2_SALTM	100	secreted	host cell cytoplasm GO:0030430(IEA);
tr|T2KCI8|T2KCI8_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K327|T2K327_SALTM	91	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCB5|T2KCB5_SALTM	30	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2K893|T2K893_SALTM	7	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K6K4|T2K6K4_SALTM	86	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KE96|T2KE96_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC79|T2KC79_SALTM	29	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K3A3|T2K3A3_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); intrinsic to internal side of plasma membrane GO:0031235(IDA);
tr|T2KE15|T2KE15_SALTM	21	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KA72|T2KA72_SALTM	100	secreted	extracellular space GO:0005615(IEA); host cell cytoplasm GO:0030430(IEA);
tr|T2K7L1|T2K7L1_SALTM	79	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K4Q4|T2K4Q4_SALTM	12	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3I8|T2K3I8_SALTM	8	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2K9B5|T2K9B5_SALTM	98	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K620|T2K620_SALTM	91	inner membrane	integral to membrane GO:0016021(IEA); intrinsic to membrane GO:0031224(IDA); nitrate reductase complex GO:0009325(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3L3|T2K3L3_SALTM	49	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8A0|T2K8A0_SALTM	24	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K526|T2K526_SALTM	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9B2|T2K9B2_SALTM	10	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAW5|T2KAW5_SALTM	12	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K258|T2K258_SALTM	95	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KB40|T2KB40_SALTM	69	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6I4|T2K6I4_SALTM	94	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K4Z6|T2K4Z6_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9Y6|T2K9Y6_SALTM	40	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3L9|T2K3L9_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6G6|T2K6G6_SALTM	5	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA); S-layer GO:0030115(IEA);
tr|T2KD35|T2KD35_SALTM	15	inner membrane	integral to membrane GO:0016021(IBA); plasma membrane GO:0005886(IEA);
tr|T2KCP9|T2KCP9_SALTM	14	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K7Y8|T2K7Y8_SALTM	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2R3|T2K2R3_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCE4|T2KCE4_SALTM	86	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KDQ8|T2KDQ8_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8U8|T2K8U8_SALTM	77	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAE2|T2KAE2_SALTM	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KA14|T2KA14_SALTM	100	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2K5T5|T2K5T5_SALTM	79	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAR8|T2KAR8_SALTM	19	secreted	extracellular region GO:0005576(IEA); outer membrane GO:0019867(IEA);
tr|T2KBZ2|T2KBZ2_SALTM	7	cytoplasm	bacterial nucleoid GO:0043590(IDA); cytoplasm GO:0005737(IEA);
tr|T2K9K5|T2K9K5_SALTM	92	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K3R1|T2K3R1_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6R0|T2K6R0_SALTM	7	periplasm	periplasmic flagellum GO:0055040(IEA);
tr|T2K3A2|T2K3A2_SALTM	81	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IDA);
tr|T2KAK0|T2KAK0_SALTM	16	periplasm	periplasmic space GO:0042597(IDA);
tr|T2KBM0|T2KBM0_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K271|T2K271_SALTM	27	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5Q0|T2K5Q0_SALTM	28	inner membrane	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6H3|T2K6H3_SALTM	7	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2W3|T2K2W3_SALTM	7	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KB74|T2KB74_SALTM	72	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K1Y9|T2K1Y9_SALTM	34	fimbrium	pilus GO:0009289(IEA);
tr|T2KFV5|T2KFV5_SALTM	92	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8V8|T2K8V8_SALTM	18	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5D9|T2K5D9_SALTM	10	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3K2|T2K3K2_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KE75|T2KE75_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDT4|T2KDT4_SALTM	24	cytoplasm	glycerol-3-phosphate dehydrogenase complex GO:0009331(IEA);
tr|T2K2P6|T2K2P6_SALTM	90	cytoplasm	citrate lyase complex GO:0009346(IEA);
tr|T2K447|T2K447_SALTM	34	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2KAU1|T2KAU1_SALTM	20	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K5N7|T2K5N7_SALTM	70	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4N0|T2K4N0_SALTM	14	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2KFT4|T2KFT4_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K789|T2K789_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KA57|T2KA57_SALTM	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4K8|T2K4K8_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K8F9|T2K8F9_SALTM	91	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KDK7|T2KDK7_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K6Z1|T2K6Z1_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4F5|T2K4F5_SALTM	98	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IDA);
tr|T2K9A2|T2K9A2_SALTM	35	outer membrane	integral to membrane GO:0016021(IEA); intrinsic to cell outer membrane GO:0031230(IDA); plasma membrane GO:0005886(IEA);
tr|T2K8M7|T2K8M7_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3E5|T2K3E5_SALTM	14	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KB57|T2KB57_SALTM	15	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6W5|T2K6W5_SALTM	49	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K1Z2|T2K1Z2_SALTM	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDI4|T2KDI4_SALTM	97	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K648|T2K648_SALTM	100	secreted	cell surface GO:0009986(IDA); extracellular region GO:0005576(IEA);
tr|T2K292|T2K292_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5T1|T2K5T1_SALTM	12	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K520|T2K520_SALTM	100	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2KCM5|T2KCM5_SALTM	77	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBK6|T2KBK6_SALTM	83	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KD39|T2KD39_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6G7|T2K6G7_SALTM	27	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEQ6|T2KEQ6_SALTM	10	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KDW4|T2KDW4_SALTM	90	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K899|T2K899_SALTM	92	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KBE9|T2KBE9_SALTM	97	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KDJ6|T2KDJ6_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K210|T2K210_SALTM	12	periplasm	outer membrane-bounded periplasmic space GO:0030288(IMP);
tr|T2KAT2|T2KAT2_SALTM	15	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KE46|T2KE46_SALTM	17	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K7U9|T2K7U9_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6F0|T2K6F0_SALTM	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KA54|T2KA54_SALTM	13	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
tr|T2K578|T2K578_SALTM	39	inner membrane	integral to plasma membrane GO:0005887(IEA);
tr|T2K5V3|T2K5V3_SALTM	16	cytoplasm	cell outer membrane GO:0009279(IDA); cytoplasm GO:0005737(IEA);
tr|T2K3I0|T2K3I0_SALTM	8	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KC36|T2KC36_SALTM	90	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K575|T2K575_SALTM	78	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2K2S1|T2K2S1_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K8D0|T2K8D0_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4Q1|T2K4Q1_SALTM	99	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAL7|T2KAL7_SALTM	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KD13|T2KD13_SALTM	90	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K9H9|T2K9H9_SALTM	93	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K3D7|T2K3D7_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCR7|T2KCR7_SALTM	97	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K624|T2K624_SALTM	83	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2X5|T2K2X5_SALTM	74	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KBC3|T2KBC3_SALTM	80	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K3T9|T2K3T9_SALTM	14	cytoplasm	HslUV protease complex GO:0009376(IEA); membrane GO:0016020(IDA);
tr|T2K3I5|T2K3I5_SALTM	80	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDB4|T2KDB4_SALTM	93	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KA03|T2KA03_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K596|T2K596_SALTM	90	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC55|T2KC55_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBA3|T2KBA3_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD43|T2KD43_SALTM	92	inner membrane	integral to plasma membrane GO:0005887(IEA);
tr|T2KAV2|T2KAV2_SALTM	88	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2KCB8|T2KCB8_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5S5|T2K5S5_SALTM	17	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
tr|T2K3P2|T2K3P2_SALTM	26	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K5P5|T2K5P5_SALTM	96	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KFX3|T2KFX3_SALTM	21	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBX4|T2KBX4_SALTM	9	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KAD7|T2KAD7_SALTM	90	inner membrane	cytosol GO:0005829(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5T4|T2K5T4_SALTM	100	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K8K0|T2K8K0_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KFL0|T2KFL0_SALTM	34	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K5J5|T2K5J5_SALTM	21	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5M1|T2K5M1_SALTM	96	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2KDK0|T2KDK0_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9D4|T2K9D4_SALTM	19	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K7E9|T2K7E9_SALTM	98	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K229|T2K229_SALTM	89	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2K7S0|T2K7S0_SALTM	30	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KEG8|T2KEG8_SALTM	88	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K822|T2K822_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4N9|T2K4N9_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7L7|T2K7L7_SALTM	25	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KD10|T2KD10_SALTM	15	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K4K6|T2K4K6_SALTM	15	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KB80|T2KB80_SALTM	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KB55|T2KB55_SALTM	30	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K818|T2K818_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2L7|T2K2L7_SALTM	20	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2KCJ3|T2KCJ3_SALTM	7	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7T1|T2K7T1_SALTM	13	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4F9|T2K4F9_SALTM	82	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K8U2|T2K8U2_SALTM	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBG3|T2KBG3_SALTM	58	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K8F0|T2K8F0_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4S4|T2K4S4_SALTM	18	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K530|T2K530_SALTM	25	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KCA3|T2KCA3_SALTM	82	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3P1|T2K3P1_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBZ5|T2KBZ5_SALTM	11	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KDB8|T2KDB8_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCW7|T2KCW7_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD64|T2KD64_SALTM	17	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9L6|T2K9L6_SALTM	30	fimbrium	pilus GO:0009289(IEA);
tr|T2K6K7|T2K6K7_SALTM	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBG6|T2KBG6_SALTM	20	fimbrium	pilus GO:0009289(IEA);
tr|T2KAU0|T2KAU0_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KD44|T2KD44_SALTM	86	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3U3|T2K3U3_SALTM	12	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
